Change Component Footprint: Designator=Q2 Old Footprint=INF-PG-SOT23_M New Footprint=FP-527AG-MFG
Change Component Comment : Designator=Q2 Old Comment=2N7002 New Comment=FDN340P
Change Managed Component Library Link : Designator=Q2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C0FBE270-828C-4C77-8591-105028A663A1 New ItemGUID=2DE94480-A0F9-4514-A046-3DF2A0F3EC9F Old RevisionGUID=5169901C-CD1C-438C-8D14-0957F6C396E3 New RevisionGUID=C99D9C9D-A38E-48EB-92E7-D02251264317
Change component parameters: Designator = "Q2" ("Q2"); Footprint = "INF-PG-SOT23_M"; UniqueID = "\HNPURAAN" ("\HNPURAAN")
Added Pin To Net: NetName=GND Pin=DS2-2
Added Pin To Net: NetName=GND Pin=J2-1
Added Pin To Net: NetName=D8 Pin=J2-2
Added Pin To Net: NetName=D7 Pin=J2-3
Added Pin To Net: NetName=D6 Pin=J2-4
Added Pin To Net: NetName=D5 Pin=J2-5
Added Pin To Net: NetName=D4 Pin=J2-6
Added Pin To Net: NetName=D3 Pin=J2-7
Added Pin To Net: NetName=D2 Pin=J2-8
Added Pin To Net: NetName=D1 Pin=J2-9
Added Pin To Net: NetName=+5 Pin=J2-11
Added Pin To Net: NetName=+5_LED Pin=J2-12
Added Pin To Net: NetName=LED Pin=J3-1
Added Pin To Net: NetName=+5 Pin=J3-2
Added Pin To Net: NetName=IR_D1 Pin=J3-4
Added Pin To Net: NetName=IR_D2 Pin=J3-5
Added Pin To Net: NetName=IR_D3 Pin=J3-6
Added Pin To Net: NetName=IR_D4 Pin=J3-7
Added Pin To Net: NetName=IR_D5 Pin=J3-8
Added Pin To Net: NetName=IR_D6 Pin=J3-9
Added Pin To Net: NetName=IR_D7 Pin=J3-10
Added Pin To Net: NetName=IR_D8 Pin=J3-11
Added Pin To Net: NetName=GND Pin=J3-12
Added Pin To Net: NetName=MOSI Pin=R26-2
Added Pin To Net: NetName=MISO Pin=R27-2
Added Pin To Net: NetName=NetDS1_1 Pin=DS1-1
Added Pin To Net: NetName=NetDS1_1 Pin=R26-1
Added Net: Name=NetDS1_1
Added Pin To Net: NetName=NetDS2_1 Pin=DS2-1
Added Pin To Net: NetName=NetDS2_1 Pin=R27-1
Added Net: Name=NetDS2_1
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component DS1 HSMG-C170
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component DS2 HSMG-C170
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component J2 39-53-2125
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component J3 39-53-2125
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component R26 470R
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component R27 470R
Added Member To Class: ClassName=Line_follower1_Sheet Member=Component X1 ABL-16.000MHZ-T
